species,pop,author,lat,lon,num_individuals,num_loci,gene_diversity,global_fst,popden,poplvlsd,adult_mass_g,site_PET_mm_yr,PET_mean,AET_mean,lc_5kSI,lc_20kSI,lc_50kSI,lc_100kSI
Canis_latrans,Heppenheimer_Georgia_Columbia,Heppenheimer,33.51039,-82.25821,6,10,0.740167,0.033654,140.8899968,50,12000,1551.497748,1039.96886,386.117248,0.828000277,0.82136047,0.852936447,0.8643002
Canis_latrans,Heppenheimer_Georgia_Lincoln,Heppenheimer,33.78883,-82.43282,8,10,0.79316,0.007131,13.13000011,51,12000,1533.85,1039.96886,386.117248,0.753226387,0.817489641,0.845798789,0.859345238
Canis_latrans,Heppenheimer_Georgia_Thomas,Heppenheimer,30.84274,-83.84806,7,10,0.758163,0.042868,13.14000003,46,12000,1601.345794,1039.96886,386.117248,0.758602942,0.769248413,0.802805804,0.838159042
Canis_latrans,Heppenheimer_Maryland_Washington,Heppenheimer,39.64279,-77.71973,5,10,0.707028,0.073169,530.5250015,54,12000,1259.443515,1039.96886,386.117248,0.697856016,0.699820086,0.727187006,0.749558386
Canis_latrans,Heppenheimer_North_Carolina_Hyde,Heppenheimer,35.37771,-76.17784,5,10,0.761042,-0.001353,1.539999962,41,12000,1455.595318,1039.96886,386.117248,0.576689686,0.617732998,0.615448669,0.601218657
Canis_latrans,Heppenheimer_North_Carolina_Tyrrell,Heppenheimer,35.89335,-76.18006,6,10,0.769056,0.014708,4.110000134,41,12000,1449.633257,1039.96886,386.117248,0.696447194,0.71405377,0.691017743,0.661781583
Canis_latrans,Heppenheimer_North_Carolina_Washington,Heppenheimer,35.81257,-76.59543,5,10,0.772597,-0.016984,5.304999948,42,12000,1440.652655,1039.96886,386.117248,0.765406455,0.787782818,0.787242777,0.749938633
Canis_latrans,Heppenheimer_Ohio_Adams,Heppenheimer,38.89051,-83.50773,5,10,0.767375,-0.005447,14.7249999,51,12000,1205.369979,1039.96886,386.117248,0.638603919,0.657253008,0.675797511,0.666529433
Canis_latrans,Heppenheimer_Ohio_Columbiana,Heppenheimer,40.79058,-80.76607,5,10,0.74775,-0.004424,57.87000036,48,12000,1128.846154,1039.96886,386.117248,0.698279094,0.725148739,0.72761738,0.753919474
Canis_latrans,Heppenheimer_Ohio_Fairfield,Heppenheimer,39.83161,-82.64914,10,10,0.817854,-0.01316,203.652503,51,12000,1172.290526,1039.96886,386.117248,0.661759279,0.644618595,0.646155851,0.661614489
Canis_latrans,Heppenheimer_Ohio_Gallia,Heppenheimer,38.86287,-82.34595,9,10,0.79813,-0.001397,40.50666777,47,12000,1201.867238,1039.96886,386.117248,0.540771021,0.527701703,0.562715192,0.604969143
Canis_latrans,Heppenheimer_Ohio_Hancock,Heppenheimer,41.02797,-83.67752,9,10,0.798129,0.004953,203.5650039,49,12000,1141.1625,1039.96886,386.117248,0.27414544,0.367955902,0.509692965,0.598526777
Canis_latrans,Heppenheimer_Ohio_Miami,Heppenheimer,40.08239,-84.18636,7,10,0.812217,-0.028081,116.0500031,47,12000,1185.7375,1039.96886,386.117248,0.459906061,0.422732156,0.475096889,0.551300379
Canis_latrans,Heppenheimer_Pennsylvania_Beaver,Heppenheimer,40.63749,-80.36638,5,10,0.745875,0.020231,202.6724939,49,12000,1161.412008,1039.96886,386.117248,0.695705699,0.718201274,0.705544238,0.720068544
Canis_latrans,Heppenheimer_Pennsylvania_Bradford,Heppenheimer,41.83753,-76.54874,9,10,0.729043,0.084954,14.34750009,52,12000,1044.480652,1039.96886,386.117248,0.734477027,0.737031266,0.724688001,0.730758769
Canis_latrans,Heppenheimer_Pennsylvania_Cambria,Heppenheimer,40.49042,-78.75032,5,10,0.771903,-0.022008,44.375,55,12000,1076.70021,1039.96886,386.117248,0.667069896,0.659378184,0.667175361,0.680128573
Canis_latrans,Heppenheimer_Pennsylvania_Centre,Heppenheimer,40.87843,-77.83717,5,10,0.763875,0.002368,89.93000031,55,12000,1113.507277,1039.96886,386.117248,0.640590185,0.635703313,0.673775699,0.697444097
